CCNum,First ,Last,Amount,MinUsualAmount,MaxUsualAmount,CustomerHomeCity,CustomerAge,CustomerGender,CustomerMaritalStatus,CustomerHasChildren
4244-4100-0000-0000,Michael,Wilson,$568.94 ,7,529,McKinney,86,Male,Divorced,Yes
4524-7100-0000-0000,Logan,Davis,$387.10 ,4,364,Dallas,97,Female,Divorced,No
4523-5800-0000-0000,Logan,Williams,$492.95 ,5,415,Arlington,82,Female,Divorced,No
4660-4900-0000-0000,Charlotte,Gonzalez,$237.59 ,2,215,McKinney,92,Female,Married,Yes
4549-6100-0000-0000,Isabella,Davis,$483.44 ,5,424,Rockwall,87,Male,Married,Yes
4565-0600-0000-0000,Ethan,Clark,$495.75 ,3,267,Plano,96,Male,Married,Yes
4536-4000-0000-0000,Jackson,Harris,$442.88 ,3,226,Addison,97,Female,Married,No
4249-6900-0000-0000,Olivia,Williams,$623.90 ,4,292,Dallas,86,Female,Married,Yes
4739-2200-0000-0000,Lucas,Gonzalez,$346.58 ,3,217,Frisco,88,Male,Single,No
4712-5800-0000-0000,Oliver,Smith,$693.84 ,2,210,McKinney,89,Male,Single,Yes
4118-5600-0000-0000,Isabella,Jones,$196.88 ,2,193,McKinney,89,Female,Single,Yes
4689-5000-0000-0000,Isabella,Wilson,$437.49 ,6,433,Frisco,96,Male,Single,No
4047-0000-0000-0000,Harper,Martinez,$669.29 ,5,394,Irving,101,Male,Widowed,No
4140-5300-0000-0000,Liam,Smith,$599.88 ,7,520,Rockwall,99,Male,Widowed,No
4680-1200-0000-0000,John,Lee,$461.57 ,4,330,Irving,88,Female,Widowed,No
4367-9600-0000-0000,Jackson,Hernandez,$591.83 ,5,372,McKinney,27,Male,Divorced,Yes
4052-6400-0000-0000,Aiden,Lewis,$406.79 ,2,211,McKinney,30,Female,Divorced,Yes
4081-9500-0000-0000,Isabella,Harris,$479.69 ,5,405,Addison,27,Female,Divorced,No
4367-3600-0000-0000,Lucas,Clark,$541.01 ,2,159,Addison,24,Male,Married,Yes
4958-9300-0000-0000,Aiden,Rodriguez,$286.42 ,4,281,Addison,22,Male,Married,No
4967-5700-0000-0000,Ava,Anderson,$8.85 ,9,652,Arlington,21,Male,Married,No
4441-1600-0000-0000,Harper,Wilson,$590.58 ,2,186,McKinney,19,Female,Single,No
4194-4500-0000-0000,Liam,Martinez,$366.30 ,2,185,Irving,30,Male,Widowed,No
5896-0608-5936-8360, Isabella   , Bailey,$596.22 ,2,180,Frisco,47,M,Divorced,Yes
4475-0100-0000-0000,Liam,Perez,$464.19 ,4,335,Irving,54,Female,Divorced,Yes
4256-6700-0000-0000,Michael,Smith,$411.26 ,3,273,Addison,57,Male,Divorced,No
4903-0000-0000-0000,Jackson,Smith,$616.82 ,4,366,Frisco,40,Female,Divorced,No
4672-0800-0000-0000,Oliver,Clark,$694.99 ,5,353,Plano,60,Female,Divorced,Yes
4616-7800-0000-0000,Charlotte,Clark,$327.94 ,4,289,Rockwall,49,Male,Divorced,No
4375-4200-0000-0000,Ethan,Gonzalez,$594.61 ,3,286,Irving,40,Female,Divorced,Yes
4284-4300-0000-0000,Aiden,Gonzalez,$604.42 ,3,272,Plano,37,Female,Divorced,No
4543-6300-0000-0000,John,Garcia,$450.69 ,3,230,McKinney,40,Male,Divorced,No
4360-3800-0000-0000,Benjamin,Davis,$534.23 ,2,180,Irving,43,Female,Divorced,Yes
4496-1800-0000-0000,John,Smith,$383.62 ,4,284,Rockwall,55,Female,Divorced,Yes
4689-1900-0000-0000,Benjamin,Lewis,$201.83 ,1,84,Arlington,37,Female,Divorced,No
4475-5600-0000-0000,John,Clark,$692.71 ,2,157,Farmers Branch,32,Female,Divorced,Yes
4021-5800-0000-0000,Benjamin,Lewis,$522.20 ,5,436,Irving,46,Female,Divorced,Yes
4465-0325-0584-5190, Isaiah     , Simmons,$3.62 ,11,822,Plano,39,Male,Married,Yes
4151-6600-0000-0000,Mia,Garcia,$651.29 ,4,357,Irving,43,Male,Married,No
4871-4300-0000-0000,Oliver,Wilson,$603.26 ,5,412,Frisco,42,Female,Married,Yes
4764-5500-0000-0000,John,Lewis,$355.86 ,2,176,Addison,57,Male,Married,No
4309-0600-0000-0000,Ava,Hernandez,$3.35 ,10,731,Farmers Branch,56,Male,Married,Yes
4052-2500-0000-0000,Lucas,Perez,$661.87 ,7,552,Frisco,51,Male,Single,No
4610-1100-0000-0000,Sophia,Rodriguez,$278.63 ,3,220,Farmers Branch,48,Male,Single,No
4812-4500-0000-0000,Ava,Garcia,$615.42 ,3,296,McKinney,32,Male,Single,No
4675-7100-0000-0000,Michael,Anderson,$666.51 ,7,550,Addison,45,Male,Single,No
4737-9800-0000-0000,Oliver,White,$607.23 ,4,375,Plano,46,Male,Single,Yes
2777-9908-3371-7320, Jaxon      , Price,$534.13 ,1,140,Dallas,56,m,Single ,Yes
8297-6427-0483-4260, Logan     , Wagner,$678.19 ,4,343,Dallas,39,Female,Single ,No
4411-4200-0000-0000,Alexander,Williams,$695.05 ,7,560,Arlington,57,Female,Widowed,Yes
4066-7200-0000-0000,Isabella,Rodriguez,$569.49 ,2,230,Arlington,53,Male,Widowed,Yes
4385-6700-0000-0000,Elijah,Smith,$447.32 ,3,255,Irving,43,Female,Widowed,Yes
4528-7800-0000-0000,Harper,Garcia,$313.02 ,2,157,Addison,55,Female,Widowed,No
4843-2700-0000-0000,Sophia,Gonzalez,$536.74 ,5,417,Arlington,39,Female,Widowed,No
4022-4600-0000-0000,Alexander,Davis,$443.36 ,3,298,Farmers Branch,45,Female,Widowed,No
4463-7800-0000-0000,Elijah,Harris,$453.21 ,4,331,McKinney,34,Male,Widowed,No
4645-2200-0000-0000,Alexander,Lee,$373.37 ,3,286,Rockwall,32,Female,Widowed,Yes
4370-6300-0000-0000,Liam,Garcia,$666.97 ,2,154,Farmers Branch,52,Female,Widowed,No
4168-7100-0000-0000,Charlotte,Thomas,$440.45 ,1,84,Frisco,54,Male,Widowed,No
4844-0900-0000-0000,Charlotte,Wilson,$440.30 ,9,689,McKinney,74,Male,Divorced,Yes
4881-6400-0000-0000,Lucas,Williams,$426.93 ,10,772,McKinney,73,Female,Divorced,No
4237-6100-0000-0000,Olivia,Harris,$209.55 ,9,702,Frisco,69,Male,Divorced,No
4378-2300-0000-0000,Olivia,Perez,$60.74 ,2,181,Plano,79,Female,Divorced,Yes
4402-7400-0000-0000,Alexander,Williams,$235.47 ,8,654,Dallas,63,Male,Divorced,Yes
4727-5900-0000-0000,Ava,Garcia,$115.23 ,5,352,Dallas,76,Male,Divorced,Yes
4297-8700-0000-0000,Ava,Rodriguez,$98.28 ,8,564,Frisco,69,Female,Divorced,No
4147-0700-0000-0000,Harper,Jones,$381.33 ,9,730,Dallas,70,Female,Married,Yes
4590-1100-0000-0000,Michael,Lee,$312.43 ,5,411,Irving,62,Female,Married,No
4048-3000-0000-0000,John,Garcia,$571.04 ,9,726,Rockwall,64,Male,Married,No
4558-9700-0000-0000,Harper,Williams,$153.85 ,5,399,Plano,65,Female,Married,No
4578-5400-0000-0000,Amelia,Taylor,$90.66 ,7,518,Frisco,71,Female,Married,No
4738-1900-0000-0000,John,Lee,$41.89 ,2,163,Arlington,78,Female,Married,Yes
4608-8800-0000-0000,Ethan,White,$293.73 ,4,300,McKinney,66,Female,Married,Yes
4837-2400-0000-0000,Elijah,Thomas,$307.95 ,9,712,Farmers Branch,62,Female,Married,Yes
4344-1800-0000-0000,Jackson,Anderson,$51.31 ,2,143,Addison,69,Female,Married,Yes
4910-5000-0000-0000,Amelia,Williams,$155.38 ,11,869,Rockwall,69,Female,Married,Yes
4473-8700-0000-0000,Ethan,Harris,$121.16 ,10,782,Frisco,78,Male,Married,No
4517-8600-0000-0000,Benjamin,Wilson,$116.23 ,7,563,Plano,76,Female,Single,Yes
4214-2700-0000-0000,Mia,Martinez,$128.75 ,6,478,Dallas,72,Female,Single,Yes
4194-2500-0000-0000,Isabella,Martinez,$264.36 ,9,647,Dallas,63,Female,Single,No
4132-7400-0000-0000,Alexander,Rodriguez,$302.89 ,4,338,McKinney,74,Male,Single,Yes
4032-6900-0000-0000,Liam,Wilson,$564.87 ,9,639,Farmers Branch,75,Female,Single,No
4014-3400-0000-0000,Aiden,Martinez,$115.86 ,5,400,Frisco,76,Female,Single,Yes
4206-2300-0000-0000,Jackson,Smith,$95.82 ,4,339,McKinney,80,Female,Single,Yes
4682-0000-0000-0000,Charlotte,White,$138.48 ,4,356,Plano,62,Male,Single,No
4615-5500-0000-0000,Oliver,Anderson,$506.89 ,9,649,Plano,62,Female,Single,Yes
8058-9734-5380-2390, Kaylee     , Perry,$68.65 ,4,295,Plano,62,f,Single ,Yes
4950-9800-0000-0000,Lucas,Harris,$51.05 ,9,635,Dallas,68,Female,Widowed,No
4984-9100-0000-0000,Lucas,Wilson,$402.47 ,11,821,Frisco,74,Female,Widowed,No
4701-7000-0000-0000,Ava,Thomas,$531.50 ,7,588,Irving,77,Male,Widowed,Yes
4412-0900-0000-0000,Aiden,Smith,$520.45 ,8,628,Rockwall,72,Male,Widowed,Yes
4134-2700-0000-0000,Oliver,Wilson,$419.59 ,6,477,Plano,91,Female,Divorced,No
4423-7000-0000-0000,Alexander,Harris,$365.01 ,10,780,Addison,88,Male,Divorced,No
4497-1500-0000-0000,Jackson,Perez,$634.40 ,11,869,Frisco,88,Female,Divorced,No
4952-1500-0000-0000,Isabella,Smith,$167.74 ,10,721,Plano,86,Female,Divorced,Yes
4352-2600-0000-0000,Alexander,Garcia,$453.68 ,11,803,Rockwall,92,Male,Divorced,Yes
4116-0600-0000-0000,Ethan,Wilson,$32.68 ,3,293,Irving,96,Female,Divorced,No
4769-6200-0000-0000,Logan,Taylor,$393.21 ,9,658,Farmers Branch,86,Female,Divorced,No
4142-8500-0000-0000,Benjamin,Jones,$26.02 ,1,91,Arlington,88,Female,Divorced,No
4948-0200-0000-0000,Isabella,Lewis,$123.19 ,10,795,Farmers Branch,92,Male,Married,Yes
4370-2100-0000-0000,Oliver,Lewis,$284.24 ,5,352,Frisco,89,Female,Married,No
4413-0500-0000-0000,Charlotte,Lee,$482.11 ,11,820,Irving,93,Female,Married,No
4786-7000-0000-0000,Elijah,Taylor,$293.12 ,9,722,Irving,88,Male,Married,Yes
4387-8700-0000-0000,Benjamin,Martinez,$102.66 ,9,711,Arlington,97,Female,Married,No
4833-4000-0000-0000,Amelia,Jones,$136.35 ,10,788,Rockwall,83,Male,Married,No
4942-0000-0000-0000,Benjamin,Wilson,$411.91 ,6,484,Rockwall,89,Male,Married,No
4709-6300-0000-0000,Alexander,Smith,$108.44 ,5,412,Rockwall,86,Male,Married,Yes
4385-8000-0000-0000,John,Jones,$9.12 ,7,548,Dallas,87,Male,Single,Yes
4832-5900-0000-0000,Charlotte,Anderson,$38.71 ,8,586,Addison,89,Female,Single,No
4032-1400-0000-0000,Mia,Taylor,$420.46 ,9,707,Frisco,98,Female,Single,No
4127-5000-0000-0000,Benjamin,Hernandez,$414.97 ,9,708,Frisco,82,Male,Single,No
4149-5300-0000-0000,Olivia,Jones,$115.65 ,7,493,Farmers Branch,81,Male,Single,Yes
4565-6900-0000-0000,Logan,Wilson,$469.63 ,10,708,Frisco,82,Male,Single,No
4737-2100-0000-0000,Olivia,Jones,$33.26 ,10,732,Rockwall,93,Female,Single,Yes
4634-1600-0000-0000,Aiden,Jones,$106.78 ,8,642,Dallas,96,Male,Single,Yes
4173-0800-0000-0000,John,Perez,$316.91 ,8,601,Farmers Branch,81,Male,Single,Yes
4764-6000-0000-0000,Michael,Lee,$45.39 ,5,434,Addison,100,Female,Single,No
4542-5400-0000-0000,Alexander,Smith,$27.82 ,2,223,Plano,101,Female,Widowed,No
4046-5900-0000-0000,Isabella,White,$78.33 ,6,463,Irving,84,Female,Widowed,No
4362-5500-0000-0000,Alexander,Harris,$536.16 ,9,717,Irving,81,Female,Widowed,No
4185-6300-0000-0000,John,Wilson,$124.50 ,7,530,Arlington,95,Male,Widowed,No
4521-1500-0000-0000,Isabella,Clark,$251.71 ,6,518,Irving,99,Female,Widowed,Yes
4256-1200-0000-0000,Ava,Taylor,$302.98 ,11,816,Rockwall,101,Female,Widowed,Yes
4829-6300-0000-0000,Charlotte,Taylor,$392.12 ,10,714,Rockwall,92,Female,Widowed,No
4541-7000-0000-0000,Ava,Harris,$605.91 ,8,624,Plano,93,Female,Widowed,Yes
4762-1900-0000-0000,Michael,Garcia,$449.37 ,9,658,Arlington,30,Male,Divorced,No
4328-6200-0000-0000,Amelia,Hernandez,$258.27 ,6,496,Addison,29,Male,Divorced,Yes
4812-4000-0000-0000,Jackson,Smith,$180.94 ,8,570,Plano,29,Male,Divorced,No
4043-0700-0000-0000,Sophia,Smith,$531.53 ,9,647,Frisco,21,Male,Divorced,Yes
4262-0600-0000-0000,Aiden,Gonzalez,$244.76 ,8,587,Dallas,28,Female,Married,No
4973-8300-0000-0000,Jackson,Davis,$228.14 ,3,229,McKinney,28,Female,Married,Yes
4953-4200-0000-0000,Sophia,Clark,$50.07 ,6,488,Arlington,30,Female,Married,Yes
4104-8200-0000-0000,Benjamin,Smith,$635.42 ,9,657,Farmers Branch,20,Female,Married,No
4353-4700-0000-0000,Mia,Lee,$21.90 ,5,428,Addison,27,Male,Single,Yes
4850-7800-0000-0000,Michael,Anderson,$220.30 ,8,615,McKinney,28,Female,Single,Yes
4264-9900-0000-0000,Oliver,Williams,$562.53 ,10,726,Irving,21,Female,Single,No
4629-8800-0000-0000,Oliver,Harris,$239.61 ,10,738,Irving,28,Female,Single,No
4387-0700-0000-0000,Oliver,White,$631.74 ,10,706,Arlington,26,Male,Single,Yes
4994-0300-0000-0000,Logan,Lewis,$118.56 ,5,377,Dallas,26,Male,Single,No
4490-4900-0000-0000,Amelia,Rodriguez,$541.78 ,11,809,Dallas,24,Male,Single,Yes
4062-5600-0000-0000,Olivia,White,$86.60 ,3,275,Irving,19,Male,Single,No
4020-5900-0000-0000,Logan,Hernandez,$286.98 ,6,507,Arlington,28,Male,Widowed,No
4072-2800-0000-0000,Oliver,Hernandez,$266.70 ,4,326,McKinney,21,Female,Widowed,No
4843-1600-0000-0000,Aiden,Williams,$255.57 ,10,784,McKinney,24,Female,Widowed,No
4307-2100-0000-0000,Harper,Martinez,$193.93 ,7,538,Irving,21,Male,Widowed,Yes
4449-1000-0000-0000,Liam,Davis,$598.18 ,10,724,Plano,26,Male,Widowed,No
4381-5200-0000-0000,Lucas,Lee,$344.52 ,9,683,Irving,20,Male,Widowed,Yes
4544-1100-0000-0000,Olivia,Perez,$115.48 ,11,805,Plano,25,Female,Widowed,Yes
4516-4200-0000-0000,Ava,Wilson,$110.00 ,6,442,Rockwall,27,Male,Widowed,No
8004-6532-7900-1040, John       , Scott,$182.72 ,6,467,Dallas,48,F,Divorced,No
4792-5329-7718-0050, Charlotte , Hart,$278.62 ,9,718,Addison,34,M,Divorced,No
4846-4300-0000-0000,Isabella,Rodriguez,$523.72 ,8,570,McKinney,44,Female,Divorced,Yes
4346-6700-0000-0000,Lucas,Smith,$584.34 ,10,775,Arlington,60,Female,Divorced,No
4766-2000-0000-0000,Aiden,Perez,$57.66 ,2,150,Farmers Branch,42,Female,Divorced,No
4176-5100-0000-0000,Liam,Harris,$19.68 ,9,711,Arlington,48,Male,Divorced,Yes
4366-7900-0000-0000,Isabella,Lewis,$301.69 ,10,765,Frisco,53,Female,Divorced,Yes
4365-5000-0000-0000,Jackson,Garcia,$412.43 ,8,644,Plano,51,Female,Divorced,Yes
4028-4900-0000-0000,Alexander,Clark,$63.45 ,9,640,Plano,32,Female,Divorced,Yes
4453-2700-0000-0000,Oliver,Jones,$364.32 ,9,675,McKinney,39,Male,Divorced,Yes
4694-8900-0000-0000,Sophia,Perez,$338.64 ,9,677,Plano,44,Female,Divorced,No
4285-6100-0000-0000,Aiden,Hernandez,$46.37 ,2,232,Farmers Branch,40,Female,Divorced,Yes
4667-6900-0000-0000,John,Davis,$393.33 ,6,488,Irving,45,Male,Divorced,No
4423-0100-0000-0000,Benjamin,Davis,$28.18 ,10,794,Dallas,59,Male,Divorced,No
4809-5900-0000-0000,Ava,Rodriguez,$238.18 ,7,522,Frisco,53,Female,Divorced,No
4567-4800-0000-0000,Logan,Clark,$132.86 ,7,585,Rockwall,41,Male,Divorced,Yes
4260-3200-0000-0000,Benjamin,Garcia,$233.76 ,3,295,Arlington,40,Male,Divorced,Yes
4053-4300-0000-0000,Ava,Anderson,$263.97 ,10,738,Frisco,48,Female,Divorced,Yes
4700-1100-0000-0000,Benjamin,Davis,$186.22 ,11,791,Arlington,43,Male,Divorced,Yes
4659-4600-0000-0000,Oliver,Taylor,$194.56 ,9,649,McKinney,52,Female,Divorced,No
4041-4200-0000-0000,Elijah,Gonzalez,$298.70 ,4,380,Frisco,43,Female,Divorced,No
4133-4800-0000-0000,Isabella,Anderson,$334.89 ,5,420,Dallas,49,Male,Divorced,Yes
4033-9900-0000-0000,Isabella,Taylor,$336.82 ,7,570,Arlington,31,Female,Divorced,No
1824-5836-3406-0200, Carson     , Hayes,$289.37 ,7,535,McKinney,33,F,Married,Yes
2187-5013-2016-1920, Sophia    , Gibson,$223.92 ,8,649,Dallas,45,f,Married,Yes
3767-3980-9270-4430, Anthony   , Wells,$110.82 ,10,700,Dallas,37,Male,Married,Yes
4726-5400-0000-0000,Benjamin,Thomas,$56.86 ,5,425,Frisco,45,Male,Married,No
4363-7100-0000-0000,Ethan,Davis,$225.07 ,6,488,Addison,32,Male,Married,Yes
4066-6800-0000-0000,John,Harris,$592.99 ,8,610,Rockwall,42,Female,Married,Yes
4018-0900-0000-0000,Logan,Williams,$266.72 ,6,512,Irving,45,Female,Married,No
4374-8900-0000-0000,Isabella,Williams,$401.25 ,7,532,Dallas,58,Female,Married,Yes
4342-4600-0000-0000,Harper,White,$25.76 ,9,635,Dallas,55,Female,Married,Yes
4248-7700-0000-0000,Logan,Davis,$215.86 ,6,462,Dallas,58,Female,Married,Yes
4818-7300-0000-0000,Ava,Garcia,$232.12 ,9,692,McKinney,49,Female,Single,No
4155-2000-0000-0000,Elijah,Harris,$389.71 ,6,500,Addison,39,Male,Single,No
4453-7600-0000-0000,Michael,Williams,$294.74 ,8,658,McKinney,58,Male,Single,Yes
4310-8500-0000-0000,Benjamin,Williams,$122.75 ,4,348,Frisco,48,Female,Single,Yes
4725-7500-0000-0000,Olivia,Taylor,$523.23 ,7,537,Farmers Branch,34,Male,Single,Yes
4634-8200-0000-0000,Olivia,Smith,$131.08 ,10,712,Rockwall,45,Female,Single,No
4302-2100-0000-0000,Ethan,Rodriguez,$438.22 ,11,787,Addison,37,Female,Single,Yes
4014-5900-0000-0000,Aiden,Smith,$245.34 ,5,427,Plano,53,Male,Single,Yes
4083-6432-4051-0140,  John ,  Smith,$153.13 ,10,711,Irving,40,M,Single ,No
1865-4689-0452-5340, Gabriel    , Turner,$228.21 ,10,797,Addison,38,m,Single ,No
1123-9961-2853-9250, Charlotte , Robertson,$173.08 ,10,748,Addison,40,M,Single ,Yes
1075-0884-6225-7710, Lucas     , Riley,$186.90 ,5,403,Rockwall,43,f,Single ,No
3938-1446-7680-3900,  Isabella   , Garcia,$314.72 ,9,633,Addison,52,Male,Widowed,No
4720-3701-1737-1250, Mia       , Cole,$120.34 ,10,747,Dallas,48,Female,Widowed,Yes
4042-1600-0000-0000,Mia,Rodriguez,$125.13 ,2,234,McKinney,59,Male,Widowed,No
4945-0000-0000-0000,Harper,White,$147.85 ,11,822,Irving,58,Male,Widowed,Yes
4894-1500-0000-0000,Isabella,Wilson,$134.52 ,6,496,Arlington,54,Male,Widowed,Yes
4803-1200-0000-0000,Charlotte,Clark,$132.97 ,6,457,Arlington,59,Male,Widowed,No
4259-2000-0000-0000,Logan,Hernandez,$282.30 ,8,578,Irving,59,Female,Widowed,No
4418-7500-0000-0000,Amelia,White,$183.09 ,10,797,Frisco,44,Female,Widowed,No
4868-6100-0000-0000,Benjamin,Jones,$277.88 ,5,374,Arlington,57,Male,Widowed,Yes
4124-3500-0000-0000,Liam,Smith,$48.87 ,2,190,Frisco,31,Male,Widowed,Yes
4502-3400-0000-0000,John,Taylor,$201.32 ,10,718,Plano,53,Female,Widowed,No
