ID,First ,Last,Amount,MinUsualAmount,MaxUsualAmount,OutsideMinMax,CC Number,Credit Limit,Credit Used,OnlinePurchase,Vendor,CustomerHomeCity,CustomerAge,AgeLevel,CustomerGender,CustomerMaritalStatus,CustomerHasChildren,IsFraud,TransactionNumber,Transaction Date,Transaction Time,SourceOutsideUsual
670,Aiden,Lee,$272.16 ,1,114,Outside,4415720000000000,20000,0.096865723,Yes,Honda,Addison,42,Middle,Female,Divorced,Yes,1,45247203,1/8/23,2:32:22,Yes
1068,Oliver,Martinez,$620.17 ,3,301,Outside,4028090000000000,1000,0.46201948,Yes,SMU,Rockwall,52,Middle,Male,Divorced,No,0,4690902,5/4/23,2:09:34,YES
1143,Mia,White,$433.93 ,3,307,Outside,4004890000000000,40000,0.283094012,Yes,Uber,Farmers Branch,56,Middle,Male,Divorced,Yes,0,34898421,7/17/23,12:39:42,YES
1226,Amelia,Thomas,$245.88 ,3,243,Outside,4380470000000000,10000,0.753545577,Yes,SMU,Rockwall,38,Middle,Male,Divorced,Yes,0,34790458,3/3/23,20:33:27,Yes
1248,Oliver,Garcia,$80.64 ,1,72,Outside,4358370000000000,5000,0.730636267,Yes,SMU,Arlington,36,Middle,Male,Divorced,Yes,0,26005986,12/18/23,17:31:42,Yes
13, Elijah     , Taylor,$699.28 ,3,287,Outside,5304328221590160,5000,0.744542232,Yes,Honda,Arlington,41,Middle,F,Married,No,0,73616303,3/27/24,5:24:57,Yes
212,Isabella,Harris,$592.76 ,2,179,Outside,4227840000000000,40000,0.886097625,Yes,IBM,Addison,55,Middle,Male,Married,Yes,0,93492340,11/20/23,6:39:50,Yes
367,Elijah,Clark,$427.53 ,4,379,Outside,4471540000000000,10000,0.472165702,Yes,Amazon,Irving,44,Middle,Female,Married,No,0,50198306,7/14/23,18:19:05,Yes
1132,Michael,Anderson,$570.86 ,5,413,Outside,4354690000000000,20000,0.832427464,Yes,Subaru,Frisco,60,Middle,Male,Married,Yes,1,93987114,8/5/23,23:42:10,YES
1155,Olivia,Harris,$509.94 ,6,500,Outside,4001120000000000,1000,0.62297478,Yes,McDonald's,Dallas,32,Middle,Female,Married,Yes,0,14698793,7/21/23,23:07:12,YES
1452,Aiden,Williams,$696.51 ,7,507,Outside,4082980000000000,1000,0.520836074,Yes,Amazon,Plano,33,Middle,Female,Married,Yes,1,99929499,4/2/23,12:39:36,Yes
1961,Lucas,Harris,$430.89 ,5,381,Outside,4953170000000000,5000,0.455796711,Yes,Walmart,Plano,57,Middle,Female,Married,Yes,0,94652397,3/12/23,22:20:48,Yes
2026,Harper,Lee,$411.26 ,4,305,Outside,4853760000000000,15000,0.204152141,Yes,Lift,Rockwall,43,Middle,Male,Married,Yes,0,86529665,8/9/23,23:11:57,Yes
2065,Sophia,Lee,$646.35 ,7,544,Outside,4102710000000000,5000,0.983935129,Yes,Home Depot,Arlington,47,Middle,Female,Married,Yes,0,74748557,5/8/23,3:57:09,Yes
2178,Michael,Lee,$525.04 ,4,313,Outside,4696170000000000,5000,0.799522514,Yes,IBM,Addison,48,Middle,Male,Married,Yes,0,78768517,1/23/23,2:06:19,Yes
211,Benjamin,Perez,$240.95 ,2,217,Outside,4328960000000000,10000,0.513219433,Yes,Subaru,Dallas,42,Middle,Female,Single,No,1,38404675,5/24/23,23:59:39,Yes
504,Amelia,Hernandez,$395.56 ,3,226,Outside,4601370000000000,15000,0.807780413,Yes,Apple,McKinney,46,Middle,Female,Single,Yes,1,96073917,5/3/23,4:24:57,Yes
949,Logan,Clark,$528.74 ,3,258,Outside,4985140000000000,1000,0.295478858,Yes,Subaru,Dallas,53,Middle,Female,Single,No,1,44526425,3/9/23,19:29:21,Yes
1244,Oliver,Anderson,$599.67 ,2,181,Outside,4017220000000000,1000,0.436393705,Yes,Smoothy King,Irving,39,Middle,Male,Single,No,1,72012967,8/27/23,4:12:46,Yes
1881,Aiden,Anderson,$494.72 ,4,303,Outside,4199330000000000,20000,0.560754605,Yes,IBM,Frisco,31,Middle,Male,Single,Yes,1,80814476,5/28/23,13:01:10,Yes
45, Ryan       , Sanchez,$3.67 ,9,721,Outside,2346759365646140,5000,0.655061903,Yes,Honda,Rockwall,39,Middle,f,Single ,No,0,62986252,8/8/25,12:14:19,Yes
189, William   , Sims,$435.30 ,4,347,Outside,1065248511830930,5000,0.322415475,Yes,Amazon,Frisco,53,Middle,M,Single ,No,1,12659185,3/25/25,7:16:03,Yes
197, Madison   , Ryan,$366.20 ,3,291,Outside,3456620743490100,5000,0.404024585,Yes,Lift,Plano,34,Middle,f,Single ,No,0,47214203,7/1/24,18:13:27,Yes
1055,Oliver,Lewis,$327.11 ,3,234,Outside,4308280000000000,40000,0.008875841,Yes,McDonald's,McKinney,56,Middle,Female,Widowed,No,0,83316705,9/4/23,12:29:36,YES
1119,Lucas,Harris,$483.13 ,3,257,Outside,4203560000000000,10000,0.445088951,Yes,Starbucks,Dallas,60,Middle,Male,Widowed,No,0,60545239,1/24/23,18:59:01,YES
1120,Isabella,Jones,$2.58 ,11,807,Outside,4519370000000000,20000,0.668558315,Yes,InternationalHolding,Plano,52,Middle,Male,Widowed,No,0,21859262,11/11/23,18:09:42,YES
2168,Aiden,Garcia,$592.45 ,4,302,Outside,4511870000000000,1000,0.127708928,Yes,Home Depot,McKinney,33,Middle,Male,Widowed,Yes,0,37575765,10/15/23,11:00:05,Yes
222,Lucas,Clark,$333.57 ,3,308,Outside,4338120000000000,15000,0.077892434,No,InternationalHolding,Farmers Branch,74,High,Male,Divorced,No,0,80662321,9/22/23,7:37:15,Yes
822,John,Williams,$667.46 ,4,337,Outside,4047920000000000,1000,0.158813538,No,Walmart,Plano,62,High,Male,Divorced,No,0,50117781,10/9/23,5:25:39,Yes
1043,Isabella,Thomas,$650.48 ,4,344,Outside,4962430000000000,15000,0.514565523,No,Smoothy King,Arlington,76,High,Female,Divorced,Yes,0,97101582,10/23/23,10:24:36,YES
1238,Benjamin,Perez,$681.11 ,4,315,Outside,4945250000000000,5000,0.317595942,No,Amazon,Plano,62,High,Male,Divorced,Yes,0,8163942,10/4/23,7:14:13,Yes
1264,Lucas,Smith,$451.67 ,2,141,Outside,4636510000000000,1000,0.746708179,No,Apple,Irving,69,High,Female,Divorced,No,0,14765448,9/16/23,8:57:59,Yes
1899,Harper,Taylor,$499.69 ,5,422,Outside,4314740000000000,1000,0.101282995,No,SMU,Farmers Branch,68,High,Male,Divorced,No,1,32093019,5/28/23,18:19:07,Yes
248,Lucas,Lee,$629.65 ,8,626,Outside,4571830000000000,15000,0.575960438,No,Walmart,Farmers Branch,72,High,Male,Married,Yes,1,45316225,11/16/23,5:28:25,Yes
1278,Jackson,Davis,$437.94 ,3,247,Outside,4992090000000000,20000,0.91891993,No,SMU,Dallas,71,High,Female,Married,No,0,60391929,2/23/23,5:57:28,Yes
1323,Isabella,Anderson,$209.77 ,2,154,Outside,4403440000000000,20000,0.657961266,No,Subaru,Plano,69,High,Female,Married,Yes,0,5355066,3/1/23,3:20:11,Yes
1429,Alexander,Hernandez,$348.07 ,4,337,Outside,4276430000000000,15000,0.966852982,No,Netflix,Rockwall,80,High,Female,Married,No,0,48160033,4/9/23,10:28:49,Yes
1514,Isabella,Smith,$666.82 ,7,521,Outside,4280230000000000,40000,0.061771824,No,Netflix,Farmers Branch,72,High,Male,Married,No,0,93081920,3/3/23,21:27:40,Yes
1586,Isabella,Perez,$555.15 ,2,172,Outside,4568510000000000,1000,0.166509545,No,Netflix,Plano,65,High,Male,Married,No,0,64449206,10/26/23,3:49:13,Yes
1659,Liam,Harris,$9.39 ,10,791,Outside,4180300000000000,1000,0.675604086,No,Amazon,Irving,65,High,Female,Married,Yes,0,25927037,5/16/23,5:34:42,Yes
1111,Elijah,Lee,$464.82 ,5,440,Outside,4047200000000000,10000,0.139718754,No,InternationalHolding,Addison,69,High,Female,Single,Yes,0,94602065,3/19/23,16:19:21,YES
1204,Elijah,Perez,$490.36 ,5,364,Outside,4555060000000000,20000,0.371049909,No,Lift,Rockwall,67,High,Female,Single,No,0,38201837,4/22/23,21:04:12,Yes
2121,Jackson,Smith,$416.80 ,2,141,Outside,4262490000000000,20000,0.834139009,No,Smoothy King,Plano,79,High,Male,Single,No,1,22175791,1/15/23,10:16:56,Yes
1230,Sophia,Jones,$245.90 ,2,239,Outside,4315820000000000,20000,0.351597597,No,Amazon,Rockwall,79,High,Female,Widowed,No,0,89839941,3/22/23,8:10:13,Yes
390,Michael,Wilson,$568.94 ,7,529,Outside,4244410000000000,5000,0.571968687,No,Walmart,McKinney,86,Highest,Male,Divorced,Yes,1,92006292,8/4/23,17:54:40,Yes
1069,Logan,Davis,$387.10 ,4,364,Outside,4524710000000000,20000,0.491723054,No,Subaru,Dallas,97,Highest,Female,Divorced,No,0,49017033,6/9/23,13:44:42,YES
1850,Logan,Williams,$492.95 ,5,415,Outside,4523580000000000,10000,0.773513288,No,McDonald's,Arlington,82,Highest,Female,Divorced,No,0,62718377,11/10/23,1:53:15,Yes
1099,Charlotte,Gonzalez,$237.59 ,2,215,Outside,4660490000000000,40000,0.296595392,No,Smoothy King,McKinney,92,Highest,Female,Married,Yes,0,23072953,10/15/23,5:50:57,YES
1152,Isabella,Davis,$483.44 ,5,424,Outside,4549610000000000,40000,0.84590294,No,Amazon,Rockwall,87,Highest,Male,Married,Yes,0,70845237,10/6/23,3:25:14,YES
1218,Ethan,Clark,$495.75 ,3,267,Outside,4565060000000000,40000,0.92160122,No,Netflix,Plano,96,Highest,Male,Married,Yes,0,90102246,12/5/23,16:26:13,Yes
1277,Jackson,Harris,$442.88 ,3,226,Outside,4536400000000000,15000,0.596976198,No,Amazon,Addison,97,Highest,Female,Married,No,0,83933650,9/22/23,20:15:50,Yes
1315,Olivia,Williams,$623.90 ,4,292,Outside,4249690000000000,1000,0.582971622,No,Uber,Dallas,86,Highest,Female,Married,Yes,1,99286333,10/18/23,10:28:37,Yes
853,Lucas,Gonzalez,$346.58 ,3,217,Outside,4739220000000000,40000,0.657305552,No,Subaru,Frisco,88,Highest,Male,Single,No,0,88633514,2/7/23,13:20:01,Yes
1065,Oliver,Smith,$693.84 ,2,210,Outside,4712580000000000,15000,0.889868921,No,Apple,McKinney,89,Highest,Male,Single,Yes,0,19887175,12/13/23,17:30:13,YES
1137,Isabella,Jones,$196.88 ,2,193,Outside,4118560000000000,40000,0.552576888,No,Lift,McKinney,89,Highest,Female,Single,Yes,0,67277716,4/9/23,19:46:12,YES
1977,Isabella,Wilson,$437.49 ,6,433,Outside,4689500000000000,15000,0.793771191,No,Starbucks,Frisco,96,Highest,Male,Single,No,1,40224380,1/29/23,4:45:45,Yes
1042,Harper,Martinez,$669.29 ,5,394,Outside,4047000000000000,20000,0.051597751,No,Honda,Irving,101,Highest,Male,Widowed,No,0,39095210,7/24/23,8:36:07,YES
1292,Liam,Smith,$599.88 ,7,520,Outside,4140530000000000,10000,0.465105891,No,Smoothy King,Rockwall,99,Highest,Male,Widowed,No,0,49494107,7/23/23,5:50:41,Yes
1834,John,Lee,$461.57 ,4,330,Outside,4680120000000000,15000,0.631404225,No,Home Depot,Irving,88,Highest,Female,Widowed,No,0,58777058,5/24/23,7:28:16,Yes
478,Jackson,Hernandez,$591.83 ,5,372,Outside,4367960000000000,10000,0.902791502,No,SMU,McKinney,27,Low,Male,Divorced,Yes,0,50137373,6/9/23,22:08:08,Yes
1273,Aiden,Lewis,$406.79 ,2,211,Outside,4052640000000000,20000,0.534479811,No,SMU,McKinney,30,Low,Female,Divorced,Yes,0,69296425,7/4/23,6:07:35,Yes
2090,Isabella,Harris,$479.69 ,5,405,Outside,4081950000000000,15000,0.241421814,No,McDonald's,Addison,27,Low,Female,Divorced,No,0,73199828,5/9/23,11:23:50,Yes
359,Lucas,Clark,$541.01 ,2,159,Outside,4367360000000000,5000,0.197366468,No,Amazon,Addison,24,Low,Male,Married,Yes,0,96997144,1/1/23,6:06:08,Yes
695,Aiden,Rodriguez,$286.42 ,4,281,Outside,4958930000000000,5000,0.011799773,No,Apple,Addison,22,Low,Male,Married,No,1,88638031,7/14/23,8:08:09,Yes
1243,Ava,Anderson,$8.85 ,9,652,Outside,4967570000000000,5000,0.343273852,No,Netflix,Arlington,21,Low,Male,Married,No,0,66616729,12/19/23,2:11:45,Yes
382,Harper,Wilson,$590.58 ,2,186,Outside,4441160000000000,5000,0.159722166,No,McDonald's,McKinney,19,Low,Female,Single,No,0,75557378,9/25/23,8:49:01,Yes
1287,Liam,Martinez,$366.30 ,2,185,Outside,4194450000000000,5000,0.804157613,No,Walmart,Irving,30,Low,Male,Widowed,No,0,62905527,7/2/23,19:36:14,Yes
53, Isabella   , Bailey,$596.22 ,2,180,Outside,5896060859368360,5000,0.763815222,No,SMU,Frisco,47,Middle,M,Divorced,Yes,0,58610311,6/29/24,18:52:06,Yes
654,Liam,Perez,$464.19 ,4,335,Outside,4475010000000000,1000,0.754572667,No,McDonald's,Irving,54,Middle,Female,Divorced,Yes,0,57469518,11/14/23,2:53:38,Yes
1070,Michael,Smith,$411.26 ,3,273,Outside,4256670000000000,20000,0.078317256,No,Lift,Addison,57,Middle,Male,Divorced,No,0,75369908,1/30/23,15:15:18,YES
1073,Jackson,Smith,$616.82 ,4,366,Outside,4903000000000000,20000,0.4119086,No,Amazon,Frisco,40,Middle,Female,Divorced,No,0,85591364,10/21/23,7:06:50,YES
1124,Oliver,Clark,$694.99 ,5,353,Outside,4672080000000000,20000,0.988109268,No,Smoothy King,Plano,60,Middle,Female,Divorced,Yes,0,30899917,4/3/23,10:13:54,YES
1129,Charlotte,Clark,$327.94 ,4,289,Outside,4616780000000000,15000,0.745970344,No,Uber,Rockwall,49,Middle,Male,Divorced,No,0,13722582,5/13/23,8:17:27,YES
1142,Ethan,Gonzalez,$594.61 ,3,286,Outside,4375420000000000,15000,0.919949394,No,Uber,Irving,40,Middle,Female,Divorced,Yes,0,40409186,12/8/23,14:20:49,YES
1173,Aiden,Gonzalez,$604.42 ,3,272,Outside,4284430000000000,1000,0.701320246,No,Lift,Plano,37,Middle,Female,Divorced,No,1,66479632,3/20/23,3:42:21,Yes
1282,John,Garcia,$450.69 ,3,230,Outside,4543630000000000,15000,0.242883458,No,Subaru,McKinney,40,Middle,Male,Divorced,No,0,46575081,4/6/23,2:21:28,Yes
1331,Benjamin,Davis,$534.23 ,2,180,Outside,4360380000000000,5000,0.055385833,No,Uber,Irving,43,Middle,Female,Divorced,Yes,0,19454034,2/12/23,14:24:02,Yes
1341,John,Smith,$383.62 ,4,284,Outside,4496180000000000,1000,0.19469253,No,Apple,Rockwall,55,Middle,Female,Divorced,Yes,0,29797414,8/28/23,12:05:33,Yes
1555,Benjamin,Lewis,$201.83 ,1,84,Outside,4689190000000000,15000,0.210277637,No,Starbucks,Arlington,37,Middle,Female,Divorced,No,1,3099031,9/22/23,5:45:08,Yes
1716,John,Clark,$692.71 ,2,157,Outside,4475560000000000,15000,0.144102666,No,McDonald's,Farmers Branch,32,Middle,Female,Divorced,Yes,0,15314940,12/10/23,20:02:22,Yes
1811,Benjamin,Lewis,$522.20 ,5,436,Outside,4021580000000000,5000,0.843740932,No,Starbucks,Irving,46,Middle,Female,Divorced,Yes,0,69283520,2/26/23,5:11:36,Yes
85, Isaiah     , Simmons,$3.62 ,11,822,Outside,4465032505845190,5000,0.732543489,No,SMU,Plano,39,Middle,Male,Married,Yes,0,47482343,9/23/25,20:57:06,Yes
1499,Mia,Garcia,$651.29 ,4,357,Outside,4151660000000000,15000,0.837372817,No,Lift,Irving,43,Middle,Male,Married,No,1,66702818,6/21/23,23:07:15,Yes
1747,Oliver,Wilson,$603.26 ,5,412,Outside,4871430000000000,5000,0.834735963,No,Smoothy King,Frisco,42,Middle,Female,Married,Yes,0,48454842,7/28/23,6:42:48,Yes
2129,John,Lewis,$355.86 ,2,176,Outside,4764550000000000,20000,0.105570837,No,McDonald's,Addison,57,Middle,Male,Married,No,0,44410280,1/13/23,1:34:41,Yes
2201,Ava,Hernandez,$3.35 ,10,731,Outside,4309060000000000,5000,0.872101159,No,Lift,Farmers Branch,56,Middle,Male,Married,Yes,0,73798034,11/19/23,10:34:23,Yes
535,Lucas,Perez,$661.87 ,7,552,Outside,4052250000000000,1000,0.203627157,No,Amazon,Frisco,51,Middle,Male,Single,No,1,47780448,5/3/23,22:19:01,Yes
615,Sophia,Rodriguez,$278.63 ,3,220,Outside,4610110000000000,1000,0.530246839,No,McDonald's,Farmers Branch,48,Middle,Male,Single,No,1,97570123,6/2/23,2:15:17,Yes
757,Ava,Garcia,$615.42 ,3,296,Outside,4812450000000000,15000,0.647908328,No,Smoothy King,McKinney,32,Middle,Male,Single,No,1,53854609,3/10/23,5:02:35,Yes
1126,Michael,Anderson,$666.51 ,7,550,Outside,4675710000000000,1000,0.669849273,No,Honda,Addison,45,Middle,Male,Single,No,1,86366763,6/15/23,5:18:14,YES
1250,Oliver,White,$607.23 ,4,375,Outside,4737980000000000,20000,0.750955409,No,Honda,Plano,46,Middle,Male,Single,Yes,1,47287488,9/5/23,4:24:38,Yes
69, Jaxon      , Price,$534.13 ,1,140,Outside,2777990833717320,5000,0.996129171,No,Lift,Dallas,56,Middle,m,Single ,Yes,0,15857324,5/6/25,11:50:02,Yes
165, Logan     , Wagner,$678.19 ,4,343,Outside,8297642704834260,5000,0.142431458,No,Lift,Dallas,39,Middle,Female,Single ,No,1,53699135,12/2/24,11:17:05,Yes
294,Alexander,Williams,$695.05 ,7,560,Outside,4411420000000000,40000,0.949029866,No,Amazon,Arlington,57,Middle,Female,Widowed,Yes,0,9679162,4/14/23,6:15:03,Yes
398,Isabella,Rodriguez,$569.49 ,2,230,Outside,4066720000000000,10000,0.313296395,No,Walmart,Arlington,53,Middle,Male,Widowed,Yes,0,79407710,6/23/23,3:04:10,Yes
470,Elijah,Smith,$447.32 ,3,255,Outside,4385670000000000,40000,0.268235805,No,Lift,Irving,43,Middle,Female,Widowed,Yes,0,39324794,10/27/23,14:17:31,Yes
486,Harper,Garcia,$313.02 ,2,157,Outside,4528780000000000,15000,0.6465886,No,InternationalHolding,Addison,55,Middle,Female,Widowed,No,1,25823902,12/18/23,11:19:23,Yes
1005,Sophia,Gonzalez,$536.74 ,5,417,Outside,4843270000000000,40000,0.277974262,No,Subaru,Arlington,39,Middle,Female,Widowed,No,1,50934125,1/2/23,7:14:16,Yes
1122,Alexander,Davis,$443.36 ,3,298,Outside,4022460000000000,20000,0.778783751,No,Lift,Farmers Branch,45,Middle,Female,Widowed,No,1,3042171,6/18/23,21:37:36,YES
1228,Elijah,Harris,$453.21 ,4,331,Outside,4463780000000000,40000,0.287615045,No,Netflix,McKinney,34,Middle,Male,Widowed,No,1,92501395,5/23/23,12:54:17,Yes
1266,Alexander,Lee,$373.37 ,3,286,Outside,4645220000000000,10000,0.544604066,No,Apple,Rockwall,32,Middle,Female,Widowed,Yes,0,70966385,4/11/23,11:36:45,Yes
1419,Liam,Garcia,$666.97 ,2,154,Outside,4370630000000000,20000,0.100430578,No,Home Depot,Farmers Branch,52,Middle,Female,Widowed,No,0,49646724,1/23/23,1:06:42,Yes
1819,Charlotte,Thomas,$440.45 ,1,84,Outside,4168710000000000,20000,0.10779007,No,Walmart,Frisco,54,Middle,Male,Widowed,No,1,29286263,5/6/23,8:23:46,Yes
271,Charlotte,Wilson,$440.30 ,9,689,Inside,4844090000000000,1000,0.916513745,Yes,Subaru,McKinney,74,High,Male,Divorced,Yes,0,98766498,3/9/23,3:59:01,Yes
447,Lucas,Williams,$426.93 ,10,772,Inside,4881640000000000,40000,0.779649775,Yes,Smoothy King,McKinney,73,High,Female,Divorced,No,1,36999235,7/28/23,11:18:03,Yes
902,Olivia,Harris,$209.55 ,9,702,Inside,4237610000000000,40000,0.272311199,Yes,Apple,Frisco,69,High,Male,Divorced,No,1,15040241,7/5/23,16:53:00,Yes
1050,Olivia,Perez,$60.74 ,2,181,Inside,4378230000000000,20000,0.094044526,Yes,Home Depot,Plano,79,High,Female,Divorced,Yes,0,80605770,11/30/23,12:15:07,YES
1235,Alexander,Williams,$235.47 ,8,654,Inside,4402740000000000,1000,0.348067889,Yes,Lift,Dallas,63,High,Male,Divorced,Yes,0,98362399,4/15/23,17:00:41,Yes
1237,Ava,Garcia,$115.23 ,5,352,Inside,4727590000000000,5000,0.565258883,Yes,IBM,Dallas,76,High,Male,Divorced,Yes,0,2874410,10/28/23,14:41:43,Yes
1286,Ava,Rodriguez,$98.28 ,8,564,Inside,4297870000000000,5000,0.537453513,Yes,Honda,Frisco,69,High,Female,Divorced,No,0,57840081,1/27/23,6:20:49,Yes
558,Harper,Jones,$381.33 ,9,730,Inside,4147070000000000,40000,0.598156759,Yes,Walmart,Dallas,70,High,Female,Married,Yes,0,38183646,7/13/23,14:08:01,Yes
631,Michael,Lee,$312.43 ,5,411,Inside,4590110000000000,15000,0.065906634,Yes,McDonald's,Irving,62,High,Female,Married,No,0,93450784,4/19/23,16:02:19,Yes
765,John,Garcia,$571.04 ,9,726,Inside,4048300000000000,5000,0.667317312,Yes,SMU,Rockwall,64,High,Male,Married,No,0,88206872,7/29/23,17:22:33,Yes
837,Harper,Williams,$153.85 ,5,399,Inside,4558970000000000,5000,0.965383153,Yes,Honda,Plano,65,High,Female,Married,No,0,2313159,5/12/23,15:09:17,Yes
1013,Amelia,Taylor,$90.66 ,7,518,Inside,4578540000000000,5000,0.285519412,Yes,Netflix,Frisco,71,High,Female,Married,No,0,65913754,3/27/23,16:36:37,Yes
