CCNum,MinUsualAmount,MaxUsualAmount,CC,SourceOutsideUsual,Amount,OnlinePurchase,TransactionNumber,IsFraud,OutsideUsualAmount
4415720000000000,6,484,4415720000000000,Yes,272.16,Yes,45247203,1,No
4415720000000000,1,114,4415720000000000,No,16.92,Yes,96613514,0,No
4415720000000000,6,484,4415720000000000,No,16.92,Yes,96613514,0,No
4028090000000000,3,301,4028090000000000,Yes,620.17,Yes,4690902,0,Yes
4004890000000000,3,307,4004890000000000,Yes,433.93,Yes,34898421,0,Yes
4380470000000000,3,243,4380470000000000,Yes,245.88,Yes,34790458,0,Yes
4358370000000000,1,72,4358370000000000,Yes,80.64,Yes,26005986,0,Yes
5304328221590160,3,287,5304328221590160,Yes,699.28,Yes,73616303,0,Yes
4227840000000000,2,179,4227840000000000,Yes,592.76,Yes,93492340,0,Yes
4471540000000000,4,379,4471540000000000,Yes,427.53,Yes,50198306,0,Yes
4354690000000000,5,413,4354690000000000,Yes,570.86,Yes,93987114,1,Yes
4001120000000000,6,500,4001120000000000,Yes,509.94,Yes,14698793,0,Yes
4082980000000000,7,507,4082980000000000,Yes,696.51,Yes,99929499,1,Yes
4953170000000000,5,381,4953170000000000,Yes,430.89,Yes,94652397,0,Yes
4853760000000000,4,305,4853760000000000,Yes,411.26,Yes,86529665,0,Yes
4102710000000000,7,544,4102710000000000,Yes,646.35,Yes,74748557,0,Yes
4696170000000000,4,313,4696170000000000,Yes,525.04,Yes,78768517,0,Yes
4328960000000000,2,217,4328960000000000,Yes,240.95,Yes,38404675,1,Yes
4601370000000000,3,226,4601370000000000,Yes,395.56,Yes,96073917,1,Yes
4985140000000000,3,258,4985140000000000,Yes,528.74,Yes,44526425,1,Yes
4017220000000000,2,181,4017220000000000,Yes,599.67,Yes,72012967,1,Yes
4199330000000000,4,303,4199330000000000,Yes,494.72,Yes,80814476,1,Yes
2346759365646140,9,721,2346759365646140,Yes,3.67,Yes,62986252,0,Yes
1065248511830930,4,347,1065248511830930,Yes,435.3,Yes,12659185,1,Yes
3456620743490100,3,291,3456620743490100,Yes,366.2,Yes,47214203,0,Yes
4308280000000000,3,234,4308280000000000,Yes,327.11,Yes,83316705,0,Yes
4203560000000000,3,257,4203560000000000,Yes,483.13,Yes,60545239,0,Yes
4519370000000000,11,807,4519370000000000,Yes,2.58,Yes,21859262,0,Yes
4511870000000000,4,302,4511870000000000,Yes,592.45,Yes,37575765,0,Yes
4338120000000000,3,308,4338120000000000,Yes,333.57,No,80662321,0,Yes
4047920000000000,4,337,4047920000000000,Yes,667.46,No,50117781,0,Yes
4962430000000000,4,344,4962430000000000,Yes,650.48,No,97101582,0,Yes
4945250000000000,4,315,4945250000000000,Yes,681.11,No,8163942,0,Yes
4636510000000000,2,141,4636510000000000,Yes,451.67,No,14765448,0,Yes
4314740000000000,5,422,4314740000000000,Yes,499.69,No,32093019,1,Yes
4571830000000000,8,626,4571830000000000,Yes,629.65,No,45316225,1,Yes
4992090000000000,3,247,4992090000000000,Yes,437.94,No,60391929,0,Yes
4403440000000000,2,154,4403440000000000,Yes,209.77,No,5355066,0,Yes
4276430000000000,4,337,4276430000000000,Yes,348.07,No,48160033,0,Yes
4280230000000000,7,521,4280230000000000,Yes,666.82,No,93081920,0,Yes
4568510000000000,2,172,4568510000000000,Yes,555.15,No,64449206,0,Yes
4180300000000000,10,791,4180300000000000,Yes,9.39,No,25927037,0,Yes
4047200000000000,5,440,4047200000000000,Yes,464.82,No,94602065,0,Yes
4555060000000000,5,364,4555060000000000,Yes,490.36,No,38201837,0,Yes
4262490000000000,2,141,4262490000000000,Yes,416.8,No,22175791,1,Yes
4315820000000000,2,239,4315820000000000,Yes,245.9,No,89839941,0,Yes
4244410000000000,7,529,4244410000000000,Yes,568.94,No,92006292,1,Yes
4524710000000000,4,364,4524710000000000,Yes,387.1,No,49017033,0,Yes
4523580000000000,5,415,4523580000000000,Yes,492.95,No,62718377,0,Yes
4660490000000000,2,215,4660490000000000,Yes,237.59,No,23072953,0,Yes
4549610000000000,5,424,4549610000000000,Yes,483.44,No,70845237,0,Yes
4565060000000000,3,267,4565060000000000,Yes,495.75,No,90102246,0,Yes
4536400000000000,3,226,4536400000000000,Yes,442.88,No,83933650,0,Yes
4249690000000000,4,292,4249690000000000,Yes,623.9,No,99286333,1,Yes
4739220000000000,3,217,4739220000000000,Yes,346.58,No,88633514,0,Yes
4712580000000000,2,210,4712580000000000,Yes,693.84,No,19887175,0,Yes
4118560000000000,2,193,4118560000000000,Yes,196.88,No,67277716,0,Yes
4118560000000000,2,232,4118560000000000,Yes,196.88,No,67277716,0,No
4118560000000000,2,193,4118560000000000,No,18.32,Yes,78427577,0,No
4118560000000000,2,232,4118560000000000,No,18.32,Yes,78427577,0,No
4689500000000000,6,433,4689500000000000,Yes,437.49,No,40224380,1,Yes
4689500000000000,11,771,4689500000000000,Yes,437.49,No,40224380,1,No
4689500000000000,6,433,4689500000000000,Yes,43.87,No,6587530,0,No
4689500000000000,11,771,4689500000000000,Yes,43.87,No,6587530,0,No
4047000000000000,5,394,4047000000000000,Yes,669.29,No,39095210,0,Yes
4140530000000000,7,520,4140530000000000,Yes,599.88,No,49494107,0,Yes
4680120000000000,4,330,4680120000000000,Yes,461.57,No,58777058,0,Yes
4367960000000000,5,372,4367960000000000,Yes,591.83,No,50137373,0,Yes
4052640000000000,2,211,4052640000000000,Yes,406.79,No,69296425,0,Yes
4081950000000000,5,405,4081950000000000,Yes,479.69,No,73199828,0,Yes
4367360000000000,2,159,4367360000000000,Yes,541.01,No,96997144,0,Yes
4958930000000000,4,281,4958930000000000,Yes,286.42,No,88638031,1,Yes
4967570000000000,9,652,4967570000000000,Yes,8.85,No,66616729,0,Yes
4441160000000000,2,186,4441160000000000,Yes,590.58,No,75557378,0,Yes
4194450000000000,2,185,4194450000000000,Yes,366.3,No,62905527,0,Yes
5896060859368360,2,180,5896060859368360,Yes,596.22,No,58610311,0,Yes
4475010000000000,4,335,4475010000000000,Yes,464.19,No,57469518,0,Yes
4256670000000000,3,273,4256670000000000,Yes,411.26,No,75369908,0,Yes
4903000000000000,4,366,4903000000000000,Yes,616.82,No,85591364,0,Yes
4903000000000000,6,498,4903000000000000,Yes,616.82,No,85591364,0,Yes
4903000000000000,4,366,4903000000000000,No,533.51,Yes,44095634,1,Yes
4903000000000000,6,498,4903000000000000,No,533.51,Yes,44095634,1,Yes
4672080000000000,5,353,4672080000000000,Yes,694.99,No,30899917,0,Yes
4616780000000000,4,289,4616780000000000,Yes,327.94,No,13722582,0,Yes
4375420000000000,3,286,4375420000000000,Yes,594.61,No,40409186,0,Yes
4284430000000000,3,272,4284430000000000,Yes,604.42,No,66479632,1,Yes
4543630000000000,3,230,4543630000000000,Yes,450.69,No,46575081,0,Yes
4360380000000000,2,180,4360380000000000,Yes,534.23,No,19454034,0,Yes
4496180000000000,4,284,4496180000000000,Yes,383.62,No,29797414,0,Yes
4689190000000000,1,84,4689190000000000,Yes,201.83,No,3099031,1,Yes
4475560000000000,2,157,4475560000000000,Yes,692.71,No,15314940,0,Yes
4021580000000000,5,436,4021580000000000,Yes,522.2,No,69283520,0,Yes
4465032505845190,11,822,4465032505845190,Yes,3.62,No,47482343,0,Yes
4151660000000000,4,357,4151660000000000,Yes,651.29,No,66702818,1,Yes
4871430000000000,5,412,4871430000000000,Yes,603.26,No,48454842,0,Yes
4764550000000000,2,176,4764550000000000,Yes,355.86,No,44410280,0,Yes
4309060000000000,10,731,4309060000000000,Yes,3.35,No,73798034,0,Yes
4309060000000000,4,360,4309060000000000,Yes,3.35,No,73798034,0,Yes
4309060000000000,10,731,4309060000000000,No,146.45,Yes,69151000,1,No
4309060000000000,4,360,4309060000000000,No,146.45,Yes,69151000,1,No
4052250000000000,7,552,4052250000000000,Yes,661.87,No,47780448,1,Yes
4610110000000000,3,220,4610110000000000,Yes,278.63,No,97570123,1,Yes
4812450000000000,3,296,4812450000000000,Yes,615.42,No,53854609,1,Yes
4675710000000000,7,550,4675710000000000,Yes,666.51,No,86366763,1,Yes
4737980000000000,4,375,4737980000000000,Yes,607.23,No,47287488,1,Yes
2777990833717320,1,140,2777990833717320,Yes,534.13,No,15857324,0,Yes
8297642704834260,4,343,8297642704834260,Yes,678.19,No,53699135,1,Yes
4411420000000000,7,560,4411420000000000,Yes,695.05,No,9679162,0,Yes
4066720000000000,2,230,4066720000000000,Yes,569.49,No,79407710,0,Yes
4385670000000000,3,255,4385670000000000,Yes,447.32,No,39324794,0,Yes
4528780000000000,2,157,4528780000000000,Yes,313.02,No,25823902,1,Yes
4843270000000000,5,417,4843270000000000,Yes,536.74,No,50934125,1,Yes
4022460000000000,3,298,4022460000000000,Yes,443.36,No,3042171,1,Yes
4463780000000000,4,331,4463780000000000,Yes,453.21,No,92501395,1,Yes
4645220000000000,3,286,4645220000000000,Yes,373.37,No,70966385,0,Yes
4370630000000000,2,154,4370630000000000,Yes,666.97,No,49646724,0,Yes
4168710000000000,1,84,4168710000000000,Yes,440.45,No,29286263,1,Yes
4844090000000000,9,689,4844090000000000,Yes,440.3,Yes,98766498,0,No
4881640000000000,10,772,4881640000000000,Yes,426.93,Yes,36999235,1,No
4237610000000000,9,702,4237610000000000,Yes,209.55,Yes,15040241,1,No
4378230000000000,2,181,4378230000000000,Yes,60.74,Yes,80605770,0,No
4402740000000000,8,654,4402740000000000,Yes,235.47,Yes,98362399,0,No
4727590000000000,5,352,4727590000000000,Yes,115.23,Yes,2874410,0,No
4297870000000000,8,564,4297870000000000,Yes,98.28,Yes,57840081,0,No
4147070000000000,9,730,4147070000000000,Yes,381.33,Yes,38183646,0,No
4590110000000000,5,411,4590110000000000,Yes,312.43,Yes,93450784,0,No
4048300000000000,9,726,4048300000000000,Yes,571.04,Yes,88206872,0,No
4558970000000000,5,399,4558970000000000,Yes,153.85,Yes,2313159,0,No
4578540000000000,7,518,4578540000000000,Yes,90.66,Yes,65913754,0,No
4738190000000000,2,163,4738190000000000,Yes,41.89,Yes,73549061,0,No
4608880000000000,4,300,4608880000000000,Yes,293.73,Yes,40102880,0,No
4837240000000000,9,712,4837240000000000,Yes,307.95,Yes,80198800,0,No
4344180000000000,2,143,4344180000000000,Yes,51.31,Yes,34895874,0,No
4910500000000000,11,869,4910500000000000,Yes,155.38,Yes,27482842,1,No
4473870000000000,10,782,4473870000000000,Yes,121.16,Yes,25863189,0,No
4517860000000000,7,563,4517860000000000,Yes,116.23,Yes,10429058,0,No
4214270000000000,6,478,4214270000000000,Yes,128.75,Yes,94453787,1,No
4194250000000000,9,647,4194250000000000,Yes,264.36,Yes,51680956,0,No
4132740000000000,4,338,4132740000000000,Yes,302.89,Yes,83919106,0,No
4032690000000000,9,639,4032690000000000,Yes,564.87,Yes,51151137,0,No
4014340000000000,5,400,4014340000000000,Yes,115.86,Yes,25993334,0,No
4206230000000000,4,339,4206230000000000,Yes,95.82,Yes,89175674,0,No
4682000000000000,4,356,4682000000000000,Yes,138.48,Yes,31350366,0,No
4615550000000000,9,649,4615550000000000,Yes,506.89,Yes,20457635,1,No
8058973453802390,4,295,8058973453802390,Yes,68.65,Yes,98750836,1,No
4950980000000000,9,635,4950980000000000,Yes,51.05,Yes,18495405,0,No
4984910000000000,11,821,4984910000000000,Yes,402.47,Yes,32215218,0,No
4701700000000000,7,588,4701700000000000,Yes,531.5,Yes,25854795,0,No
4412090000000000,8,628,4412090000000000,Yes,520.45,Yes,17607220,1,No
4134270000000000,6,477,4134270000000000,Yes,419.59,Yes,23571976,0,No
4423700000000000,10,780,4423700000000000,Yes,365.01,Yes,33273913,0,No
4497150000000000,11,869,4497150000000000,Yes,634.4,Yes,38453094,0,No
4952150000000000,10,721,4952150000000000,Yes,167.74,Yes,6429086,0,No
4352260000000000,11,803,4352260000000000,Yes,453.68,Yes,75615401,0,No
4116060000000000,3,293,4116060000000000,Yes,32.68,Yes,25900941,0,No
4769620000000000,9,658,4769620000000000,Yes,393.21,Yes,59011794,0,No
4769620000000000,7,532,4769620000000000,Yes,393.21,Yes,59011794,0,No
4769620000000000,9,658,4769620000000000,No,636.19,Yes,88304417,0,No
4769620000000000,7,532,4769620000000000,No,636.19,Yes,88304417,0,Yes
4142850000000000,1,91,4142850000000000,Yes,26.02,Yes,28610480,1,No
4948020000000000,10,795,4948020000000000,Yes,123.19,Yes,33521609,1,No
4370210000000000,5,352,4370210000000000,Yes,284.24,Yes,15832777,1,No
4413050000000000,11,820,4413050000000000,Yes,482.11,Yes,88740547,0,No
4786700000000000,9,722,4786700000000000,Yes,293.12,Yes,23995715,0,No
4786700000000000,3,307,4786700000000000,Yes,293.12,Yes,23995715,0,No
4786700000000000,9,722,4786700000000000,No,364.67,Yes,61718113,0,No
4786700000000000,3,307,4786700000000000,No,364.67,Yes,61718113,0,Yes
4387870000000000,9,711,4387870000000000,Yes,102.66,Yes,25266864,0,No
4833400000000000,10,788,4833400000000000,Yes,136.35,Yes,18481042,0,No
4942000000000000,6,484,4942000000000000,Yes,411.91,Yes,85169204,0,No
4709630000000000,5,412,4709630000000000,Yes,108.44,Yes,78589017,0,No
4385800000000000,7,548,4385800000000000,Yes,9.12,Yes,8645228,0,No
4832590000000000,8,586,4832590000000000,Yes,38.71,Yes,22771006,0,No
4032140000000000,9,707,4032140000000000,Yes,420.46,Yes,26154784,1,No
4127500000000000,9,708,4127500000000000,Yes,414.97,Yes,62625687,1,No
4149530000000000,7,493,4149530000000000,Yes,115.65,Yes,42773097,0,No
4565690000000000,10,708,4565690000000000,Yes,469.63,Yes,46829418,0,No
4737210000000000,10,732,4737210000000000,Yes,33.26,Yes,2804297,1,No
4634160000000000,8,642,4634160000000000,Yes,106.78,Yes,16598884,1,No
4173080000000000,8,601,4173080000000000,Yes,316.91,Yes,35272398,1,No
4764600000000000,5,434,4764600000000000,Yes,45.39,Yes,42278262,0,No
4542540000000000,2,223,4542540000000000,Yes,27.82,Yes,10956070,0,No
4046590000000000,6,463,4046590000000000,Yes,78.33,Yes,42070416,0,No
4362550000000000,9,717,4362550000000000,Yes,536.16,Yes,11958018,0,No
4185630000000000,7,530,4185630000000000,Yes,124.5,Yes,94303075,0,No
4521150000000000,6,518,4521150000000000,Yes,251.71,Yes,80633463,0,No
4256120000000000,11,816,4256120000000000,Yes,302.98,Yes,32483385,0,No
4829630000000000,10,714,4829630000000000,Yes,392.12,Yes,97241690,0,No
4541700000000000,8,624,4541700000000000,Yes,605.91,Yes,24508089,0,No
4762190000000000,9,658,4762190000000000,Yes,449.37,Yes,45492661,0,No
4328620000000000,6,496,4328620000000000,Yes,258.27,Yes,20555138,0,No
4812400000000000,8,570,4812400000000000,Yes,180.94,Yes,17249068,0,No
4043070000000000,9,647,4043070000000000,Yes,531.53,Yes,90989906,0,No
4262060000000000,8,587,4262060000000000,Yes,244.76,Yes,84836562,0,No
4973830000000000,3,229,4973830000000000,Yes,228.14,Yes,38624359,0,No
4953420000000000,6,488,4953420000000000,Yes,50.07,Yes,91897412,1,No
4104820000000000,9,657,4104820000000000,Yes,635.42,Yes,54663617,0,No
4353470000000000,5,428,4353470000000000,Yes,21.9,Yes,17709799,1,No
4850780000000000,8,615,4850780000000000,Yes,220.3,Yes,98952425,0,No
4264990000000000,10,726,4264990000000000,Yes,562.53,Yes,40641659,1,No
4629880000000000,10,738,4629880000000000,Yes,239.61,Yes,41568539,0,No
4387070000000000,10,706,4387070000000000,Yes,631.74,Yes,30122002,1,No
4994030000000000,5,377,4994030000000000,Yes,118.56,Yes,19319280,0,No
4490490000000000,11,809,4490490000000000,Yes,541.78,Yes,47122366,0,No
4062560000000000,3,275,4062560000000000,Yes,86.6,Yes,10680965,1,No
4020590000000000,6,507,4020590000000000,Yes,286.98,Yes,10111538,0,No
4072280000000000,4,326,4072280000000000,Yes,266.7,Yes,26281485,0,No
4843160000000000,10,784,4843160000000000,Yes,255.57,Yes,87064630,0,No
4307210000000000,7,538,4307210000000000,Yes,193.93,Yes,92712524,0,No
4449100000000000,10,724,4449100000000000,Yes,598.18,Yes,34160429,0,No
4381520000000000,9,683,4381520000000000,Yes,344.52,Yes,97826166,0,No
4544110000000000,11,805,4544110000000000,Yes,115.48,Yes,77022389,0,No
4516420000000000,6,442,4516420000000000,Yes,110.0,Yes,8434072,0,No
8004653279001040,6,467,8004653279001040,Yes,182.72,Yes,82411559,1,No
4792532977180050,9,718,4792532977180050,Yes,278.62,Yes,73578056,0,No
4846430000000000,8,570,4846430000000000,Yes,523.72,Yes,92351460,0,No
4346670000000000,10,775,4346670000000000,Yes,584.34,Yes,94651065,0,No
4766200000000000,2,150,4766200000000000,Yes,57.66,Yes,18592559,0,No
4176510000000000,9,711,4176510000000000,Yes,19.68,Yes,31919692,0,No
4366790000000000,10,765,4366790000000000,Yes,301.69,Yes,61907224,0,No
4365500000000000,8,644,4365500000000000,Yes,412.43,Yes,81083746,0,No
4028490000000000,9,640,4028490000000000,Yes,63.45,Yes,15838687,0,No
4453270000000000,9,675,4453270000000000,Yes,364.32,Yes,55859938,0,No
4694890000000000,9,677,4694890000000000,Yes,338.64,Yes,69362771,0,No
4285610000000000,2,232,4285610000000000,Yes,46.37,Yes,85235976,0,No
4667690000000000,6,488,4667690000000000,Yes,393.33,Yes,17377676,0,No
4423010000000000,10,794,4423010000000000,Yes,28.18,Yes,18769162,0,No
4809590000000000,7,522,4809590000000000,Yes,238.18,Yes,69444959,0,No
4567480000000000,7,585,4567480000000000,Yes,132.86,Yes,16994536,0,No
4260320000000000,3,295,4260320000000000,Yes,233.76,Yes,47169116,0,No
4053430000000000,10,738,4053430000000000,Yes,263.97,Yes,39442596,0,No
4700110000000000,11,791,4700110000000000,Yes,186.22,Yes,98115261,0,No
4659460000000000,9,649,4659460000000000,Yes,194.56,Yes,28146745,0,No
4041420000000000,4,380,4041420000000000,Yes,298.7,Yes,13444888,0,No
4133480000000000,5,420,4133480000000000,Yes,334.89,Yes,32053484,0,No
4033990000000000,7,570,4033990000000000,Yes,336.82,Yes,5908333,0,No
1824583634060200,7,535,1824583634060200,Yes,289.37,Yes,38888998,0,No
2187501320161920,8,649,2187501320161920,Yes,223.92,Yes,63708825,0,No
3767398092704430,10,700,3767398092704430,Yes,110.82,Yes,51731879,0,No
4726540000000000,5,425,4726540000000000,Yes,56.86,Yes,92398537,0,No
4363710000000000,6,488,4363710000000000,Yes,225.07,Yes,58017714,0,No
4066680000000000,8,610,4066680000000000,Yes,592.99,Yes,12320292,0,No
4018090000000000,6,512,4018090000000000,Yes,266.72,Yes,11542864,0,No
4374890000000000,7,532,4374890000000000,Yes,401.25,Yes,58796604,0,No
4342460000000000,9,635,4342460000000000,Yes,25.76,Yes,10794306,0,No
4248770000000000,6,462,4248770000000000,Yes,215.86,Yes,70311355,0,No
4818730000000000,9,692,4818730000000000,Yes,232.12,Yes,22390368,0,No
4155200000000000,6,500,4155200000000000,Yes,389.71,Yes,60123641,0,No
4453760000000000,8,658,4453760000000000,Yes,294.74,Yes,36657814,0,No
4310850000000000,4,348,4310850000000000,Yes,122.75,Yes,2537496,0,No
4725750000000000,7,537,4725750000000000,Yes,523.23,Yes,88199541,0,No
4634820000000000,10,712,4634820000000000,Yes,131.08,Yes,4622662,0,No
4302210000000000,11,787,4302210000000000,Yes,438.22,Yes,34386841,0,No
4014590000000000,5,427,4014590000000000,Yes,245.34,Yes,28622480,0,No
4083643240510140,10,711,4083643240510140,Yes,153.13,Yes,84982178,0,No
1865468904525340,10,797,1865468904525340,Yes,228.21,Yes,9398338,0,No
1123996128539250,10,748,1123996128539250,Yes,173.08,Yes,31745361,0,No
1075088462257710,5,403,1075088462257710,Yes,186.9,Yes,49112873,0,No
3938144676803900,9,633,3938144676803900,Yes,314.72,Yes,27959746,0,No
4720370117371250,10,747,4720370117371250,Yes,120.34,Yes,33933374,0,No
4042160000000000,2,234,4042160000000000,Yes,125.13,Yes,62215521,0,No
4945000000000000,11,822,4945000000000000,Yes,147.85,Yes,8010157,0,No
4894150000000000,6,496,4894150000000000,Yes,134.52,Yes,67992889,0,No
4803120000000000,6,457,4803120000000000,Yes,132.97,Yes,62942527,0,No
4259200000000000,8,578,4259200000000000,Yes,282.3,Yes,49670220,0,No
4418750000000000,10,797,4418750000000000,Yes,183.09,Yes,64132268,0,No
4868610000000000,5,374,4868610000000000,Yes,277.88,Yes,60246531,0,No
4124350000000000,2,190,4124350000000000,Yes,48.87,Yes,57046295,0,No
4502340000000000,10,718,4502340000000000,Yes,201.32,Yes,54135937,0,No
4883580000000000,8,624,4883580000000000,Yes,32.2,Yes,45618443,0,No
4978550000000000,7,581,4978550000000000,Yes,410.73,Yes,63375428,0,No
4203020000000000,8,646,4203020000000000,Yes,605.19,Yes,22658588,0,No
4277390000000000,7,502,4277390000000000,Yes,392.77,Yes,73646003,0,No
4288180000000000,4,356,4288180000000000,Yes,238.37,Yes,32878638,0,No
4288180000000000,3,296,4288180000000000,Yes,238.37,Yes,32878638,0,No
4288180000000000,4,356,4288180000000000,No,531.96,Yes,86442613,0,Yes
4288180000000000,3,296,4288180000000000,No,531.96,Yes,86442613,0,Yes
4121180000000000,8,590,4121180000000000,Yes,65.12,No,38709839,0,No
4931400000000000,8,600,4931400000000000,Yes,46.99,No,99508072,0,No
4407310000000000,5,367,4407310000000000,Yes,180.93,No,60422683,0,No
4281440000000000,7,541,4281440000000000,Yes,62.0,No,61467466,0,No
4267180000000000,6,471,4267180000000000,Yes,352.94,No,58070159,0,No
4488480000000000,4,365,4488480000000000,Yes,340.65,No,76619394,0,No
4058960000000000,3,294,4058960000000000,Yes,218.46,No,26618913,0,No
4785240000000000,9,638,4785240000000000,Yes,308.5,No,2693966,0,No
4976780000000000,7,583,4976780000000000,Yes,535.02,No,70615703,0,No
4105830000000000,9,723,4105830000000000,Yes,33.24,No,69381051,0,No
4102970000000000,9,715,4102970000000000,Yes,547.24,No,53580613,0,No
4748220000000000,3,273,4748220000000000,Yes,251.0,No,58847433,0,No
4298790000000000,10,782,4298790000000000,Yes,259.27,No,96403552,0,No
4829670000000000,5,422,4829670000000000,Yes,61.03,No,39426859,0,No
4915040000000000,3,219,4915040000000000,Yes,39.55,No,10064806,0,No
4588510000000000,10,796,4588510000000000,Yes,250.56,No,1527905,1,No
4777070000000000,7,536,4777070000000000,Yes,423.66,No,32163359,0,No
4261750000000000,5,442,4261750000000000,Yes,278.28,No,1040842,0,No
4503580000000000,10,782,4503580000000000,Yes,469.76,No,33489974,0,No
4692130000000000,9,722,4692130000000000,Yes,640.77,No,42211874,1,No
4531710000000000,9,666,4531710000000000,Yes,225.86,No,4841038,0,No
4799020000000000,9,706,4799020000000000,Yes,524.29,No,62174357,0,No
4548020000000000,9,702,4548020000000000,Yes,404.5,No,68368541,0,No
4910880000000000,10,728,4910880000000000,Yes,576.76,No,72676866,1,No
4648810000000000,7,553,4648810000000000,Yes,139.58,No,9171173,0,No
4633850000000000,9,729,4633850000000000,Yes,603.23,No,57836189,0,No
4868280000000000,5,435,4868280000000000,Yes,392.16,No,39025755,0,No
4520740000000000,8,620,4520740000000000,Yes,378.23,No,35110883,0,No
4139810000000000,6,485,4139810000000000,Yes,80.62,No,80489702,0,No
4234710000000000,9,669,4234710000000000,Yes,165.47,No,42496666,0,No
4676890000000000,11,817,4676890000000000,Yes,115.26,No,49457689,0,No
4988650000000000,9,719,4988650000000000,Yes,170.09,No,39710321,0,No
4542260000000000,10,787,4542260000000000,Yes,280.49,No,79448955,0,No
4641320000000000,11,859,4641320000000000,Yes,358.25,No,5779724,0,No
4335590000000000,10,755,4335590000000000,Yes,603.82,No,89844857,0,No
4952820000000000,8,598,4952820000000000,Yes,164.17,No,83927795,0,No
4671790000000000,11,773,4671790000000000,Yes,626.57,No,64225222,0,No
4160530000000000,5,353,4160530000000000,Yes,292.5,No,67702736,0,No
4323660000000000,10,726,4323660000000000,Yes,338.62,No,71650920,0,No
4116570000000000,9,664,4116570000000000,Yes,369.64,No,86377147,0,No
4756520000000000,2,142,4756520000000000,Yes,96.04,No,50825019,0,No
4082160000000000,11,842,4082160000000000,Yes,163.44,No,26602644,0,No
4613810000000000,6,438,4613810000000000,Yes,85.25,No,50168761,0,No
4998100000000000,7,495,4998100000000000,Yes,230.55,No,83638031,0,No
4137680000000000,10,784,4137680000000000,Yes,310.14,No,11627700,0,No
4122880000000000,9,671,4122880000000000,Yes,111.75,No,73809527,0,No
4641810000000000,9,655,4641810000000000,Yes,404.37,No,3030451,0,No
4234660000000000,7,531,4234660000000000,Yes,405.24,No,45208444,0,No
4709750000000000,9,680,4709750000000000,Yes,254.4,No,22804034,0,No
4199070000000000,8,613,4199070000000000,Yes,524.56,No,8089182,0,No
4110520000000000,7,519,4110520000000000,Yes,100.73,No,1076054,0,No
4930730000000000,4,285,4930730000000000,Yes,219.15,No,57868591,0,No
4309660000000000,5,403,4309660000000000,Yes,179.52,No,13560992,0,No
4861820000000000,5,448,4861820000000000,Yes,322.48,No,40704137,0,No
4385980000000000,8,637,4385980000000000,Yes,397.14,No,33032638,0,No
